topic_id,top_words,count
0,"taste, like, good, great, chocolate, cookies, flavor, just",465
1,"coffee, tea, like, great, coconut, flavor, cup, drink",425
2,"dog, food, cat, dogs, loves, cats, treats, eat",149
3,"sauce, pasta, soup, hot, just, noodles, garlic, taco",145
4,"product, box, time, price, arrived, order, candy, buy",112
5,"salt, beans, sea, canned, cans, sea salt, like, taste",47
6,"milk, baby, son, months, started, breast, foods, like",31
7,"tried, large, later, area, work, product, catch, days later",18
8,"hair, conditioner, scent, pleasant, short, color, body, product",11
